"Num.CMD","Date.CMD","Client","Adresse","Forme_Juridique","Code_Produit","Produit","Categorie","Qte","Montant_HT","Taxe","Montant_TTC","Type_Vente","Wilaya"
"SLSD/0001","2024-12-28","ABC","Cité 20 Aout - Alger","SARL","LAP.0120","Laptop HP Probook G4","Laptop","4","500000","95000","595000","Vente Directe","Alger"
"SLSD/0001","2024-12-28","ABC","Cité 20 Aout - Alger","SARL","PRI.0020","Printer Canon 6030","Imprimante","1","49000","9310","58310","Vente Directe","Alger"
"SLSD/0001","2024-12-28","ABC","Cité 20 Aout - Alger","SARL","INK.0034","Toner Canon 6030","Consommable","1","1800","342","2142","Vente Directe","Alger"
"SLSR/0002","2025-02-22","XYZ","Coopérative Rym - Blida","EURL","LAP.0011","Laptop Lenovo 110","Laptop","1","89000","16910","105910","Vente en retail","Blida"
"SLSR/0002","2025-02-22","XYZ","Coopérative Rym - Blida","EURL","PRI.0020","Printer Canon 6030","Imprimante","2","98000","18620","116620","Vente en retail","Blida"
"SLSR/0002","2025-02-22","XYZ","Coopérative Rym - Blida","EURL","INK.0004","Toner Canon 6030","Consommable","2","3600","684","4284","Vente en retail","Blida"
"SLSR/0002","2025-02-22","XYZ","Coopérative Rym - Blida","EURL","SCA.0002","Scanner Epson 1600","Scanner","1","21000","3990","24990","Vente en retail","Blida"
"SLSD/0003","2025-03-15","AGRODZ","Cité 310 logt Kouba - Alger","SARL","PRI.0011","Printer EPSON 3010","Imprimante","2","64000","12160","76160","Vente Directe","Alger"
"SLSD/0003","2025-03-15","AGRODZ","Cité 310 logt Kouba - Alger","SARL","LAP.0120","Laptop HP Probook G4","Laptop","1","125000","23750","148750","Vente Directe","Alger"
"SLSG/0004","2025-03-28","Wiffak","Boulvard Nord - Sétif","SNC","INK.0001","INK Canon 3210","Consommable","10","18000","3420","21420","Vente gouvernementale","Sétif"
"SLSD/0005","2025-03-28","XYZ","Coopérative Rym - Oran","EURL","LAP.0011","Laptop Lenovo 110","Laptop","3","267000","50730","317730","Vente Directe","Oran"
"SLSD/0005","2025-03-28","XYZ","Coopérative Rym - Oran","EURL","PRI.0011","Printer EPSON 3010","Imprimante","1","32000","6080","38080","Vente Directe","Oran"
"SLSD/0005","2025-03-28","XYZ","Coopérative Rym - Oran","EURL","INK.0005","INK Epson 110","Consommable","10","8000","1520","9520","Vente Directe","Oran"
"SLSG/0006","2025-05-02","ABC","Cité 20 Aout - Alger","SARL","LAP.0120","Laptop HP Probook G4","Laptop","2","250000","47500","297500","Vente gouvernementale","Alger"
"SLSD/0007","2025-05-04","HAMIDI","Promotion Bahia - Oran","EURL","PRI.0020","Printer Canon 6030","Imprimante","2","98000","18620","116620","Vente Directe","Oran"
